title,release_year,genre,is_seen
Inception,2010,sf,Oui
Titanic,1997,romance,Oui
Terminator,1984,sf,Oui
Star Wars,1977,sf,Oui
Alien,1978,horreur,Oui
The matrix,1999,sf,Oui
Avatar,2009,sf,Non
Gladiator,2000,action,Oui
The godfather,1972,crime,Oui
Pulp fiction,1994,crime,Oui
Jurassic Park,1993,sf,Oui
Interstellar,2014,sf,Oui
The lion king,1994,animation,Oui
Forrest Gump,1994,drame,Oui
The dark knight,2008,action,Oui
Fight Club,1999,drame,Oui
Se7en,1995,thriller,Oui
The prestige,2006,sf,Non
Whiplash,2014,drame,Oui
Parasite,2019,thriller,Non
Star Trek,2009,sf,Oui
iRobot,2004,sf,Oui
Seul sur Mars,2015,sf,Oui
